Sample in Buffer,Sample in Window,TRIGGER,axi_spi_top_i/system_ila_4/inst/probe0_1[13:0]
543,543,0,-2198
544,544,0,-4023
545,545,0,-375
546,546,0,4015
547,547,0,2788
548,548,0,-2197
549,549,0,-4023
550,550,0,-372
551,551,0,4017
552,552,0,2794
553,553,0,-2194
554,554,0,-4019
555,555,0,-375
556,556,0,4023
557,557,0,2790
558,558,0,-2197
559,559,0,-4025
560,560,0,-371
561,561,0,4021
562,562,0,2790
563,563,0,-2196
564,564,0,-4022
565,565,0,-368
566,566,0,4023
567,567,0,2790
568,568,0,-2196
569,569,0,-4019
570,570,0,-378
571,571,0,4017
572,572,0,2788
573,573,0,-2198
574,574,0,-4025
575,575,0,-372
576,576,0,4017
577,577,0,2784
578,578,0,-2197
579,579,0,-4023
580,580,0,-373
581,581,0,4021
582,582,0,2790
583,583,0,-2193
584,584,0,-4023
585,585,0,-372
586,586,0,4023
587,587,0,2794
588,588,0,-2197
589,589,0,-4020
590,590,0,-373
591,591,0,4021
592,592,0,2792
593,593,0,-2198
594,594,0,-4016
595,595,0,-365
596,596,0,4021
597,597,0,2787
598,598,0,-2198
599,599,0,-4023
600,600,0,-371
601,601,0,4023
602,602,0,2785
603,603,0,-2192
604,604,0,-4022
605,605,0,-371
606,606,0,4019
607,607,0,2789
608,608,0,-2197
609,609,0,-4022
610,610,0,-368
611,611,0,4024
612,612,0,2788
613,613,0,-2196
614,614,0,-4021
615,615,0,-372
616,616,0,4024
617,617,0,2785
618,618,0,-2195
619,619,0,-4023
620,620,0,-367
621,621,0,4015
622,622,0,2792
623,623,0,-2202
624,624,0,-4016
625,625,0,-372
626,626,0,4020
627,627,0,2788
628,628,0,-2202
629,629,0,-4024
630,630,0,-366
631,631,0,4020
632,632,0,2786
633,633,0,-2198
634,634,0,-4023
635,635,0,-367
636,636,0,4020
637,637,0,2789
638,638,0,-2196
639,639,0,-4020
640,640,0,-368
641,641,0,4026
642,642,0,2788
643,643,0,-2202
644,644,0,-4023
645,645,0,-370
646,646,0,4021
647,647,0,2790
648,648,0,-2195
649,649,0,-4022
650,650,0,-370
651,651,0,4022
652,652,0,2785
653,653,0,-2197
654,654,0,-4024
655,655,0,-373
656,656,0,4021
657,657,0,2784
658,658,0,-2198
659,659,0,-4025
660,660,0,-370
661,661,0,4022
662,662,0,2792
663,663,0,-2197
664,664,0,-4018
665,665,0,-365
666,666,0,4020
667,667,0,2781
668,668,0,-2197
669,669,0,-4020
670,670,0,-366
671,671,0,4021
672,672,0,2783
673,673,0,-2200
674,674,0,-4024
675,675,0,-364
676,676,0,4016
677,677,0,2781
678,678,0,-2197
679,679,0,-4023
680,680,0,-368
681,681,0,4023
682,682,0,2788
683,683,0,-2198
684,684,0,-4020
685,685,0,-369
686,686,0,4024
687,687,0,2780
688,688,0,-2197
689,689,0,-4026
690,690,0,-362
691,691,0,4023
692,692,0,2790
693,693,0,-2198
694,694,0,-4021
695,695,0,-369
696,696,0,4019
697,697,0,2781
698,698,0,-2200
699,699,0,-4022
700,700,0,-369
701,701,0,4022
702,702,0,2782
703,703,0,-2205
704,704,0,-4021
705,705,0,-363
706,706,0,4021
707,707,0,2787
708,708,0,-2200
709,709,0,-4021
710,710,0,-366
711,711,0,4025
712,712,0,2780
713,713,0,-2202
714,714,0,-4022
715,715,0,-360
716,716,0,4023
717,717,0,2785
718,718,0,-2196
719,719,0,-4023
